model_folder_leaf,problem_type,model_type,dataset_name,num_instances_evaluated,mean_approximation_ratio,mean_raw_score,avg_time_per_instance_sec,detailed_results_file
paramhash:c41808f264fce58d03e08922dadb9f61706db02efd3aa3f9648479e0d04141a7,vertex_cover,GIN,PowerlawCluster,64,N/A,-84.8125,2.024226687848568,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_020316.json
paramhash:d2fd1e1159f8efbdbc8daddbe0f6ba0a14afb928c2d3fb8eac7b579f38fd82c5,vertex_cover,GIN,PowerlawCluster,32,N/A,-250.375,6.13137874007225,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_020851.json
paramhash:41514de5c0421b7133afc35fab08fe5f812df0d7cbb1321168982618961f238f,vertex_cover,GatedGCNN,PowerlawCluster,64,N/A,-84.765625,1.817852322012186,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_021817.json
paramhash:7e5886352861ee91e29a452173ae7cf5626b09a72f79d49fd384407dfc8927b1,vertex_cover,GatedGCNN,PowerlawCluster,32,N/A,-247.6875,5.936977952718735,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_022345.json
paramhash:4ca5f09a6d6203e2b61eb858a170ca276b9fdfe183d12267dc29c9be8fcc3cf7,vertex_cover,LiftMP,PowerlawCluster,32,N/A,-246.5625,9.080598190426826,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_023712.json
paramhash:5e3282cf79c01fa96851ba92c49011e388df54e377b724098e1ab91a08a50777,vertex_cover,LiftMP,PowerlawCluster,64,N/A,-141.484375,5.519197542220354,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_034946.json
paramhash:29f7c40358185910c2fc65bc1afef7898af44f50b623da48037b1765fd886ce7,vertex_cover,LiftMP,PowerlawCluster,64,N/A,-439.953125,14.46464553847909,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_040738.json
paramhash:f0f9d355594fc4670a3fbf0d40bf097b88f849c407268336ec22b37821f3fce8,vertex_cover,LiftMP,PowerlawCluster,64,N/A,-65.15625,3.2746008597314358,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_041138.json
paramhash:402f188a0134f965161fe1e219812bbd14a81db38a4fc9d3fbf97ccc2a509ae3,vertex_cover,GAT,WattsStrogatz,64,N/A,-97.34375,2.4712005965411663,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_013804.json
paramhash:de06427f73f65a4cbd7f042d09ad42f399472ac03e6afbaf99d3a7418bc7cd67,vertex_cover,GAT,WattsStrogatz,32,N/A,-293.0625,4.564463227987289,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_014142.json
paramhash:87fa13a840ecc3841990bf9d9ed3f3416d72483c41e2daf08fc0caefb9437092,vertex_cover,GAT,WattsStrogatz,64,N/A,-48.609375,1.8026639223098755,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_014354.json
paramhash:7fab9aa63807031248e5c5767820a9e08f9f46a22a2e6ecb0b8dc555e43ab8b8,vertex_cover,GCNN,WattsStrogatz,64,N/A,-96.25,1.8500041030347347,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_015506.json
paramhash:6bde92993f7305e30f1d6ca2c0709f50d67ae4b824e8a6a18fc3e2547cdce383,vertex_cover,GCNN,WattsStrogatz,32,N/A,-287.0,4.240089349448681,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_015832.json
paramhash:2660f774c3b09af892517a6364175f145269c93cf82052f77eef69531a4e9d95,vertex_cover,GCNN,WattsStrogatz,64,N/A,-48.71875,1.3976880982518196,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_020018.json
paramhash:d94ba7115348403d840377d5d50d340beffbb7284ffe60fe9540f85c1206a30a,vertex_cover,GIN,WattsStrogatz,64,N/A,-95.796875,1.5599704943597317,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_021058.json
paramhash:262d85bc39b33e309453a1f913334e0c07bbfccaced185d06e77b8150477bb52,vertex_cover,GIN,WattsStrogatz,32,N/A,-284.4375,3.4977066069841385,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_021401.json
paramhash:1983bd7fcef08b96072f01b9e9055c208b8344e398de3392da00e99764636420,vertex_cover,GIN,WattsStrogatz,64,N/A,-48.640625,1.1673297844827175,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_021532.json
paramhash:07b2c67f894d8ca618e6c19dd19f212a6afab66430c7d68b150336fe6634f80f,vertex_cover,GatedGCNN,WattsStrogatz,64,N/A,-94.046875,1.4291994385421276,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_022543.json
paramhash:0e2906d8872cad04e60147d563c566e797d8e47bc535ec368febe99d19770e8c,vertex_cover,GatedGCNN,WattsStrogatz,32,N/A,-276.75,3.573536105453968,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_022846.json
paramhash:59319d42b58f903a9161e49f028a3485e939f7006ee98c3a0d423335327dd972,vertex_cover,GatedGCNN,WattsStrogatz,64,N/A,-47.71875,0.981760248541832,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_023006.json
paramhash:2dbba67483bb9725d59fb1783df785be2281577f407b4ad76eb47751fee669e3,vertex_cover,LiftMP,WattsStrogatz,64,N/A,-94.96875,2.6489378698170185,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_024029.json
paramhash:88899d9ec53594d314bf3683043d7f34c40b8562f0246b8c2cba515439a62a5a,vertex_cover,LiftMP,WattsStrogatz,32,N/A,-284.46875,6.030200846493244,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_024452.json
paramhash:249c8e0e3c478464262499da03a13be808124f2c58ad01782857f3a16688ab99,vertex_cover,LiftMP,WattsStrogatz,64,N/A,-47.21875,2.042202804237604,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_024720.json
paramhash:816d354e64e3e4c105b310fa36a54028c2d86c2723435253d82d00075327f4a9,vertex_cover,LiftMP,WattsStrogatz,64,N/A,-132.21875,2.6778684221208096,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_044527.json
paramhash:3cd425497ca5efb0910885f03685920f80af27c427b635c532a365f6ccac486b,vertex_cover,LiftMP,WattsStrogatz,64,N/A,-394.140625,5.817608367651701,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_045250.json
paramhash:28820c3a74011d6d3d224b9e9761831b95f6d831c65e7a4c77f934680c8a12bd,vertex_cover,LiftMP,WattsStrogatz,64,N/A,-66.0,2.0160450525581837,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_045516.json
